"","test_grade","hs_diploma_grade","grade_weighted_avg","exams_taken","total_cfu","years"
"test_grade",1,0.144866882976235,0.321331178882259,0.163503361714639,0.0989000893670453,-0.0745091350156734
"hs_diploma_grade",0.144866882976235,1,0.544646423671303,0.350315950104437,0.381964134161762,-0.0940387165433641
"grade_weighted_avg",0.321331178882259,0.544646423671303,1,0.297494630481112,0.303728453484097,-0.0114943030754117
"exams_taken",0.163503361714639,0.350315950104437,0.297494630481112,1,0.991599219204642,-0.0380724628214537
"total_cfu",0.0989000893670453,0.381964134161762,0.303728453484097,0.991599219204642,1,-0.00963813450756318
"years",-0.0745091350156734,-0.0940387165433641,-0.0114943030754117,-0.0380724628214537,-0.00963813450756318,1
